side,ref,value,role,pads
R,R12,1.5k,sensor LPF,1=Q12;2=A12
R,R13,1.5k,sensor LPF,1=Q13;2=A13
R,R14,1.5k,sensor LPF,1=Q14;2=A14
R,R15,1.5k,sensor LPF,1=Q15;2=A15
R,R16,1.5k,sensor LPF,1=Q16;2=A16
R,R17,1.5k,sensor LPF,1=Q17;2=A17
R,R18,1.5k,sensor LPF,1=Q18;2=A18
R,R19,1.5k,sensor LPF,1=Q19;2=A19
R,R2,1.5k,sensor LPF,1=Q2;2=A2
R,R20,1.5k,sensor LPF,1=Q20;2=A20
R,R21,1.5k,sensor LPF,1=Q21;2=A21
R,R22,1.5k,sensor LPF,1=Q22;2=A22
R,R23,1.5k,sensor LPF,1=Q23;2=A23
R,R24,1.5k,sensor LPF,1=Q24;2=A24
R,R25,1.5k,sensor LPF,1=Q25;2=A25
R,R26,1.5k,sensor LPF,1=Q26;2=A26
R,R27,1.5k,sensor LPF,1=Q27;2=A27
R,R28,1.5k,sensor LPF,1=Q28;2=A28
R,R29,1.5k,sensor LPF,1=Q29;2=A29
R,R3,1.5k,sensor LPF,1=Q3;2=A3
R,R30,0R,SPI series jumper MISO(L),1=MISO(L);2=MISO(L)
R,R31,4.7k,I2C pull-up SCL,1=SCL;2=VCC
R,R32,4.7k,I2C pull-up SDA,1=SDA;2=VCC
R,R4,1.5k,sensor LPF,1=Q4;2=A4
R,R5,1.5k,sensor LPF,1=Q5;2=A5
R,R6,1.5k,sensor LPF,1=Q6;2=A6
R,R7,1.5k,sensor LPF,1=Q7;2=A7
R,R8,1.5k,sensor LPF,1=Q8;2=A8
R,R9,1.5k,sensor LPF,1=Q9;2=A9
