side,ref,value,footprint,lcsc,role,pop
L,H4,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
L,H5,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
L,H6,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
L,H7,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
L,H8,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
L,H9,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
L,LED1,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED10,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED11,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED12,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED13,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED14,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED15,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED16,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED17,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED18,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED19,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED2,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED20,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED21,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED22,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED23,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED24,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED25,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED26,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED27,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED28,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED29,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED3,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED4,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED5,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED6,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED7,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED8,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,LED9,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
L,OLED,OLED-header,OLEDPinHeader_1x04_P2.54mm_Vertical,,pin header TH (no-OLED->DNP),DNP
L,R1,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R10,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R11,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R12,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R13,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R14,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R15,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R16,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R17,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R18,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R19,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R2,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R20,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R21,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R22,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R23,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R24,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R25,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R26,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R27,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R28,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R29,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R3,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R30,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,CS pull-up (DNP),DNP
L,R31,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,SPI-series (UART->DNP),DNP
L,R32,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,I2C pull-up (no-OLED->DNP),DNP
L,R33,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,I2C pull-up (no-OLED->DNP),DNP
L,R34,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,SPI-series (UART->DNP),DNP
L,R35,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,SPI-series (UART->DNP),DNP
L,R4,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R5,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R6,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R7,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R8,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,R9,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
L,REF**,M2.5,MountingHole_2.7mm_M2.5_DIN965_Pad,,mounting hole,skip
L,RP2040-Zero,RP2040-Zero,RP2040-Zero Through Hole foot print (Correct version),,MCU module TH,manual
L,U1,ADG732BSUZ,SU_48_ADI-M,C579103,mux,populated
L,UG1,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
L,UG10,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
L,UG2,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
L,UG3,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
L,UG4,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
