side,ref,value,footprint,lcsc,role,pop
R,LED4,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED5,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED6,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED7,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED8,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED9,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,OLED,OLED-header,OLEDPinHeader_1x04_P2.54mm_Vertical,,pin header TH (no-OLED->DNP),DNP
R,R1,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R10,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R11,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R12,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
